               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11151,            0.027138,                   0,           0.0012879,             0.37778,          0.00094122,           0.0002122,            0.095602,            0.014748,                   0,              0.0811,              0.0021,              0.0021
                   1,             0.09079,            0.022296,                   0,           0.0028788,             0.84444,            0.090509,            0.023709,            0.074328,            0.011296,                   0,            0.061158,           0.0041581,           0.0041581
                   2,            0.077362,            0.020239,                   0,            0.040337,             0.82222,             0.20337,            0.072535,            0.061895,            0.011328,                   0,            0.041071,            0.006071,            0.006071
                   3,            0.069496,            0.020593,                   0,             0.41907,                 0.4,             0.40819,             0.07761,            0.067578,           0.0084286,                   0,            0.020839,           0.0078387,           0.0078387
                   4,            0.065023,            0.019953,                   0,             0.31948,             0.43823,             0.27875,             0.10563,            0.058638,           0.0076904,                   0,             0.00868,             0.00868,             0.00868
                   5,            0.059896,            0.018285,                   0,             0.67152,             0.63613,             0.73859,             0.27283,            0.049375,           0.0071559,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.054612,            0.018338,                   0,             0.54893,             0.62222,             0.49152,             0.20591,            0.050147,           0.0066824,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.050181,            0.017335,                   0,             0.72579,             0.64444,             0.65941,             0.20353,             0.04614,           0.0062506,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.048815,            0.015265,                   0,             0.85071,             0.82222,             0.82998,              0.4019,            0.037982,           0.0057752,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.045995,            0.013366,                   0,             0.83955,             0.69782,             0.80414,             0.25999,            0.044919,           0.0055115,                   0,             0.00736,             0.00736,             0.00736
                  10,             0.04571,            0.013545,                   0,              0.6734,              0.8706,             0.79696,             0.40633,            0.035941,            0.005378,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.042727,            0.012081,                   0,             0.69481,             0.82222,             0.69423,             0.27068,            0.040819,           0.0051534,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.041867,            0.011086,                   0,             0.92444,              0.8157,              0.8772,             0.44949,            0.034193,           0.0047538,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.040174,            0.011168,                   0,             0.86293,             0.83947,             0.84174,             0.45646,            0.033241,            0.004554,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.039522,            0.011434,                   0,             0.87217,             0.90976,             0.88047,             0.44926,            0.034171,           0.0044804,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.039136,            0.010636,                   0,             0.83849,             0.84444,             0.82701,             0.45887,            0.032551,           0.0043511,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.038208,            0.010145,                   0,             0.85926,             0.86667,             0.87426,             0.45574,            0.033261,           0.0043178,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.037272,           0.0099685,                   0,             0.81589,             0.88889,             0.86944,             0.44326,            0.032537,           0.0043261,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.036124,            0.009356,                   0,             0.87918,             0.88889,             0.88217,             0.48915,            0.034076,           0.0042348,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.034538,           0.0091866,                   0,             0.91131,             0.91342,             0.90357,             0.46006,            0.032389,           0.0042069,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.034231,           0.0096188,                   0,             0.88793,             0.88046,               0.863,             0.51286,            0.031075,           0.0042353,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.032597,           0.0094585,                   0,             0.89919,             0.91111,             0.89137,             0.50347,             0.03005,           0.0041642,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.032716,           0.0095168,                   0,             0.87649,             0.88889,             0.85566,             0.47866,             0.03095,           0.0041709,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.032055,           0.0086431,                   0,             0.86755,             0.91111,              0.8658,             0.49072,            0.029195,           0.0040574,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.032101,           0.0090018,                   0,              0.8847,             0.88889,             0.86658,             0.50063,            0.030121,           0.0040778,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.030902,           0.0083835,                   0,             0.83804,             0.91998,             0.87432,             0.51607,            0.028824,           0.0040209,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.030163,            0.008719,                   0,             0.87074,             0.89833,             0.87544,             0.52131,            0.028373,           0.0039765,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.028702,           0.0081561,                   0,             0.87472,             0.93096,             0.88077,             0.51797,            0.027961,           0.0039788,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.028373,           0.0079478,                   0,             0.86908,             0.93333,             0.87883,               0.496,            0.028369,            0.003999,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.028348,            0.008169,                   0,             0.88639,             0.91111,             0.88695,             0.50884,            0.028587,           0.0039971,                   0,             0.00076,             0.00076,             0.00076
