               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11236,            0.027476,                   0,           0.0011364,             0.33333,           0.0024828,          0.00052585,            0.087858,            0.014859,                   0,              0.0856,              0.0016,              0.0016
                   1,             0.08878,            0.022621,                   0,            0.042222,             0.44444,            0.048064,             0.01133,            0.069335,            0.012341,                   0,            0.070191,           0.0031911,           0.0031911
                   2,            0.078926,             0.02009,                   0,             0.39184,             0.26667,             0.31604,            0.091273,            0.067651,            0.010632,                   0,             0.05467,             0.00467,             0.00467
                   3,            0.070288,            0.020541,                   0,             0.38821,                 0.4,             0.30715,            0.067043,            0.063051,           0.0087576,                   0,            0.039037,           0.0060367,           0.0060367
                   4,            0.064808,            0.019771,                   0,             0.64523,                 0.6,             0.61441,             0.20407,            0.055508,             0.00807,                   0,            0.023291,           0.0072912,           0.0072912
                   5,            0.058073,            0.017776,                   0,              0.3161,             0.73333,              0.2786,            0.093803,            0.058379,           0.0072999,                   0,             0.00835,             0.00835,             0.00835
                   6,            0.055995,            0.017658,                   0,             0.53658,                 0.8,             0.67119,             0.20203,             0.05386,           0.0069122,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.051962,            0.016072,                   0,              0.6957,             0.66057,             0.63172,               0.202,             0.05228,           0.0059104,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.049134,            0.015232,                   0,             0.68634,             0.68889,             0.65488,             0.20729,            0.047064,           0.0055189,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.046727,            0.013825,                   0,             0.79606,             0.78072,             0.80768,             0.36652,            0.039125,           0.0051951,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.044325,            0.012765,                   0,             0.79151,             0.77778,             0.75792,             0.34345,            0.037925,           0.0052361,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.042622,            0.011529,                   0,             0.86997,             0.82222,             0.85322,             0.35928,            0.041165,            0.004838,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.041529,            0.010787,                   0,             0.87668,             0.84444,             0.87466,             0.46164,            0.033219,           0.0045638,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.03795,            0.010697,                   0,             0.74667,             0.86667,             0.83903,             0.42149,             0.03639,           0.0041285,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.038612,            0.010368,                   0,             0.87304,             0.88889,             0.90877,             0.46438,            0.034524,           0.0040255,                   0,             0.00571,             0.00571,             0.00571
                  15,             0.03693,            0.009711,                   0,             0.89726,             0.77636,             0.87109,              0.4387,            0.034264,           0.0041637,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.034787,           0.0094605,                   0,              0.8846,             0.85184,             0.89429,             0.46988,             0.03498,           0.0037966,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.034905,           0.0093675,                   0,             0.85757,             0.91111,             0.88441,             0.50229,            0.031767,           0.0037477,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.034375,           0.0090876,                   0,             0.89472,             0.94442,             0.90376,             0.45699,            0.032957,           0.0037305,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.033701,           0.0082452,                   0,             0.89338,              0.9311,             0.87601,             0.47634,            0.033394,           0.0037334,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.031583,           0.0089285,                   0,              0.8834,             0.88889,             0.87554,             0.51408,            0.030113,           0.0037937,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.032112,           0.0088836,                   0,             0.88928,             0.91111,             0.87394,             0.49583,            0.032607,           0.0038362,                   0,              0.0034,              0.0034,              0.0034
                  22,             0.03094,           0.0089056,                   0,             0.89113,             0.90952,             0.89722,              0.4685,            0.033627,           0.0038333,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.030185,           0.0084015,                   0,             0.87107,             0.90096,             0.88256,             0.50624,            0.031235,           0.0037661,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.030064,            0.008375,                   0,             0.84884,             0.87364,             0.86545,             0.46213,            0.032482,           0.0039368,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.029432,           0.0078176,                   0,             0.88117,             0.88889,             0.87658,             0.51232,             0.03139,           0.0037942,                   0,             0.00208,             0.00208,             0.00208
                  26,             0.02757,           0.0081656,                   0,             0.83627,             0.88889,             0.88265,             0.51785,            0.031085,            0.003787,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.027412,           0.0079547,                   0,             0.86923,             0.88629,             0.88212,             0.53115,            0.030339,           0.0038273,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.026505,           0.0071759,                   0,             0.86271,             0.91111,             0.90015,             0.54573,            0.029939,           0.0037608,                   0,             0.00109,             0.00109,             0.00109
                  29,             0.02638,            0.007933,                   0,             0.84995,             0.91111,             0.90057,             0.54157,            0.030956,           0.0037441,                   0,             0.00076,             0.00076,             0.00076
